date,Rt,Rt_CI_upper,Rt_CI_lower
2020-03-17,2.359668577418209,6.875169892472427,0.0
2020-03-18,2.294308169581445,6.2850895095112795,0.0
2020-03-19,4.038377248779541,7.083595726915822,0.0
2020-03-20,2.847911110169261,5.418677825446649,0.0
2020-03-21,2.331607656033464,4.602289636940444,0.0
2020-03-22,2.041618970199341,4.099909345599653,0.0
2020-03-23,1.855599589752658,3.753088228270718,0.0
2020-03-24,1.8567496863377904,3.6057202052282165,0.0
2020-03-25,1.8857297225068486,3.493329315088664,0.0017234803514092345
2020-03-26,1.7490934783177365,3.245475537581067,0.01602340210542741
2020-03-27,2.003065782037509,3.363048132041973,0.45034081486002664
2020-03-28,1.8326884454634627,3.0883890389119357,0.4144276732189879
2020-03-29,1.7118702330154179,2.8844422574226476,0.3987475791386135
2020-03-30,2.0538503410607745,3.1136580705238965,0.8805279447418729
2020-03-31,1.868472163310041,2.8431835514470407,0.7985589378949144
2020-04-01,1.738656742505716,2.646166233799713,0.7491704030221951
2020-04-02,1.6851291561191768,2.5343295415026352,0.7645606712904952
2020-04-03,1.606063469079817,2.406702782724707,0.7422874692928337
2020-04-04,1.6284143115862721,2.3815914526439252,0.8196233766516414
2020-04-05,1.5556946831389373,2.2691734959741714,0.7925030977249616
2020-04-06,1.499078246178088,2.178634139067764,0.774573000147667
2020-04-07,1.4534373146488153,2.1035312797875094,0.7623243859846466
2020-04-08,1.4235783640928457,2.0472764209370977,0.7622209833101743
2020-04-09,1.4071166271333961,2.0064351490412315,0.7731070462429066
2020-04-10,1.378846369442684,1.9563134820321226,0.7692394708373874
2020-04-11,1.351975463828021,1.9098373615757818,0.7641755050522618
2020-04-12,1.3958357029740422,1.9324497540613559,0.8315771184770924
2020-04-13,1.3648947761850319,1.882621883225141,0.8214813602480394
2020-04-14,1.3353997518649994,1.8363386458865207,0.8104519441067319
2020-04-15,1.3450938055972474,1.8293237333311863,0.8384656463902389
2020-04-16,1.3226926056878558,1.791791969094397,0.8326031686603572
2020-04-17,1.321100671474354,1.7756081618311228,0.8469159820070506
2020-04-18,1.3103584587641994,1.7511870412735315,0.8510433181500824
2020-04-19,1.298942929927036,1.7269789619076918,0.8534988598060271
2020-04-20,1.2819961709353342,1.6982988086034088,0.8492451088280966
2020-04-21,1.2668681532504045,1.672357711800278,0.8457895143847867
2020-04-22,1.2899126038183997,1.6839747216529686,0.8811435946439504
2020-04-23,1.2685092295283196,1.6522690801177315,0.8708150002941497
2020-04-24,1.280946095573523,1.6542140449640408,0.8945083339564459
2020-04-25,1.2659410442476342,1.6295374587551203,0.8898598460110275
2020-04-26,1.2478136257560755,1.6026191235338918,0.8811296015269481
2020-04-27,1.236064799301158,1.5826907639631322,0.8781104128856217
2020-04-28,1.2253797499271788,1.5643697021275274,0.8755627842123757
2020-04-29,1.2149209263855358,1.5467834880448263,0.8726888044575868
2020-04-30,1.2060283246541486,1.5311970305094704,0.8709104230119988
2020-05-01,1.2111093381698264,1.5295587906571777,0.8831236426854601
2020-05-02,1.1969642165194239,1.509267449841516,0.8754945877198304
2020-05-03,1.2155892191836926,1.521302123064571,0.9010981340143959
2020-05-04,1.1931109542842833,1.4930358315407368,0.8847417276375192
2020-05-05,1.196427711183409,1.4905771707894337,0.894160380118837
2020-05-06,1.2035055476845675,1.491788643548451,0.9074294337492336
2020-05-07,1.1955213815723733,1.4782770732843433,0.9052725262042302
2020-05-08,1.187166679111067,1.464729118778487,0.9023873048446005
2020-05-09,1.1942686964896096,1.4665416345925333,0.9150547048738534
2020-05-10,1.1860795241813804,1.4533792491451671,0.91209310495904
2020-05-11,1.2010894164889248,1.4631173157548254,0.9326391447751476
2020-05-12,1.2042000650014302,1.4609804710238319,0.9412549689553812
2020-05-14,1.1961675293327603,1.4480047157550768,0.9384034551657566
2020-05-16,1.2073387594249405,1.4540546141662065,0.9549373416861968
2020-05-17,1.191393650161196,1.4334730633206152,0.9438427271460037
2020-05-18,1.1843206188068685,1.4220164161250841,0.9413518319854086
2020-05-19,1.179055841703624,1.4125685173066143,0.9404561227573927
2020-05-20,1.1889329095515464,1.4181115410812863,0.9548562943307203
2020-05-21,1.180190912018158,1.4053101413354652,0.9503474636222107
2020-05-22,1.173909338135374,1.3951781899577584,0.9480781250492065
2020-05-23,1.1712634988061246,1.3888044302231257,0.9493141740003745
2020-05-24,1.1549826371109384,1.3692031859122826,0.9364885616354823
2020-05-25,1.1503125464996786,1.3613607180755287,0.9351177079252877
2020-05-26,1.1489028562442762,1.356854426266792,0.936926569803996
2020-05-27,1.1554933774498932,1.360259818310149,0.94682572229364
2020-05-28,1.1583964729316103,1.3599683287694466,0.9530453024280466
2020-05-29,1.156043880448922,1.3545169935078003,0.9539078126471103
2020-05-30,1.1513121283124181,1.3468255546079515,0.9522451560866149
2020-05-31,1.1698017649271677,1.3620467618570768,0.9741220823020255
2020-06-01,1.1642151541627135,1.3533507876182183,0.9717560012421762
2020-06-02,1.170957200502769,1.3569091495471508,0.9817936280129607
2020-06-03,1.167014487701717,1.3499075499530866,0.9810154764565829
2020-06-04,1.1524715949622513,1.3326154669502686,0.9693152160037866
2020-06-05,1.162725846536968,1.3399812661123565,0.9825545328112514
2020-06-06,1.1539286214070799,1.3284939460454321,0.9765359418848197
2020-06-07,1.1601962532902776,1.3320052361115033,0.985649196929069
2020-06-08,1.1552158499014624,1.3243953829570319,0.9833820586556424
2020-06-09,1.1502925853277708,1.3169641279297373,0.9810454956516019
2020-06-10,1.1396873827811527,1.3040608611419873,0.9728094242250928
2020-06-11,1.1592745488704714,1.3210666363276726,0.9950566065267518
2020-06-12,1.0991523811191706,2.8429347197702937,0.0
2020-06-13,1.0265312175029908,1.9677127708842128,0.0
2020-06-14,1.6820010832829986,2.3597183088516775,0.9595853934867176
2020-06-15,1.4459648840764623,2.0035137335456725,0.8585124628391172
2020-06-16,1.5558809265212816,2.030303326789146,1.059978497924212
2020-06-17,1.4034229474984328,1.824591198575043,0.9654117705474409
2020-06-19,1.1826555044134182,1.6291869602992495,0.7171458058423936
2020-06-21,1.3082989327175873,1.7098258520832976,0.8914918650588001
2020-06-23,1.2567203896728802,1.624634097087616,0.876018445806107
2020-06-24,1.3308111501316358,1.6686729121652484,0.9821954630590748
2020-06-26,1.2841021406463178,1.5982734335686883,0.9606528384982264
2020-06-27,1.2489537441839917,1.5438252267581627,0.9459239366741163
2020-06-30,1.173392504868984,1.4534738174063668,0.8859609436212007
2020-07-01,1.2479959196421881,1.5129393295260587,0.9764846327509517
